"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-01",,,"0.02","0.0","0.0","43","21","28",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-02",,,"0.03","0.0","0.0","39","24","24",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-03",,,"0.00","0.0","0.0","39","7","18",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-04",,,"0.00","0.0","0.0","39","5","25",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-05",,,"0.00","0.0","0.0","44","10","22",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-06",,,"0.00","0.0","0.0","42","3","16",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-07",,,"0.00","0.0","0.0","32","6","14",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-08",,,"0.00","0.0","0.0","39","0","26",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-09",,,"0.00","0.0","0.0","51","5","19",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-10",,,"0.00","0.0","0.0","61","10","36",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-11",,,"0.00","0.0","0.0","64","23","51",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-12",,,"0.00","0.0","0.0","63","28","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-13",,,"0.00","0.0","0.0","59","20","30",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-14",,,"0.00","0.0","0.0","45","24","35",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-15",,,"0.00","0.0","0.0","58","26","41",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-16",,,"0.00","0.0","0.0","50","29","45",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-17",,,"0.00","0.0","0.0","65","35","50",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-18",,,"0.02","0.0","0.0","59","42","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-19",,,"0.00","0.0","0.0","66","26","37",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-20",,,"0.00","0.0","0.0","59","29","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-21",,,"0.02","0.0","0.0","52","33","36",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-22",,,"0.02","0.0","0.0","55","27","30",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-23",,,"0.00","0.0","0.0","50","15","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-24",,,"0.00","0.0","0.0","50","28","43",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-25",,,"0.00","0.0","0.0","45","38","39",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-26",,,"0.00","0.0","0.0","55","35","42","    1",,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-27",,,"0.00","0.0","0.0","48","20","29",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-28",,,"0.00","0.0","0.0","45","15","22",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-01-29",,,"0.00","0.0","0.0","45","5","22",,,,,,
